Channel,keV,Aluminium,Calcium,Iron,Magnesium,Oxygen,Silicon,Titanium,Potassium,Thorium,Uranium
0,516.2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,534.0,5.753806727659856e-05,0.00010185103774868945,3.043235660698578e-05,1.1880227936755301e-05,0.0005816037760164935,0.0001515235519540853,-0.0,-0.0,0.00040873450340935674,-0.0
2,551.8000000000001,5.543002460699976e-05,0.00015629512877760155,-0.0,-0.0,0.000993141905269431,0.0002654019621732366,-0.0,-0.0,0.00027224302589763996,-0.0
3,569.6,0.0001054838022574757,0.00021636418220096705,-0.0,-0.0,0.001285077745885525,0.0006027353706554717,-0.0,-0.0,1.8347341120648922e-05,-0.0
4,587.4,0.00016914773741413686,0.0002524573656520737,-0.0,-0.0,0.0014549816971566006,0.0008911104622484424,-0.0,-0.0,-0.0,-0.0
5,605.2,0.00016546072704829261,0.0002143014803901158,-0.0,-0.0,0.0015741052004100658,0.0009988101884309975,-0.0,-0.0,-0.0,-0.0
6,623.0,0.00016001941622160884,0.0001774659186679375,0.0003943136938068259,-0.0,0.0016482991858636274,0.0010360727296771352,-0.0,-0.0,-0.0,-0.0
7,640.8000000000001,0.00010696638139496805,0.00011288649408873401,0.0005418730733196377,-0.0,0.0016259143875254113,0.0010388942342945255,-0.0,-0.0,-0.0,-0.0
8,658.6,0.00014681470734614205,9.153528883335559e-05,0.0007556217378267425,-0.0,0.0015865716983730338,0.0010059224319148383,-0.0,-0.0,-0.0,-0.0
9,676.4,0.00013535363070115683,7.217761079281353e-05,0.0009703627061142125,-0.0,0.0014924405293586785,0.0008844858122438546,-0.0,-0.0,-0.0,-0.0
10,694.2,0.0001328639771489308,0.00010449968857041881,0.0015030566992514903,-0.0,0.0013283852708744117,0.0006864437059154612,-0.0,-0.0,-0.0,-0.0
11,712.0,0.00015935731950110865,0.00010102568614398621,0.0022133588313737788,-0.0,0.0010682490998739427,0.0005218841294265365,-0.0,-0.0,-0.0,-0.0
12,729.8000000000001,0.00018556986486743696,9.126362921460607e-05,0.002932446527957319,-0.0,0.0007721731749659118,0.00030417789137764025,-0.0,-0.0,-0.0,-0.0
13,747.6,0.00015393129495089455,6.16882414565987e-05,0.003295055732819895,-0.0,0.0004379424259693736,0.00016371811140837423,-0.0,-0.0,0.00023639965448285684,-0.0
14,765.4,0.00010287763664617271,2.7915684904519946e-05,0.004069620336207205,-0.0,1.0283040088153916e-05,6.96877751892145e-05,-0.0,-0.0,0.00047237417613190454,-0.0
15,783.2,7.506756970028844e-05,4.500024070526161e-05,0.004121327667373334,-0.0,3.549267575346499e-06,4.174899364732662e-05,-0.0,-0.0,0.0004543032176632507,-0.0
16,801.0,8.113650291184397e-05,7.714359493300767e-05,0.004084024898736336,-0.0,0.00015751315887381918,2.4074269081082354e-06,-0.0,-0.0,0.0004727298368369917,-0.0
17,818.8000000000001,5.401412426467487e-05,0.00011248103458492967,0.003826948678355554,-0.0,0.0004052469969339509,-0.0,-0.0,-0.0,0.0004260816439864707,-0.0
18,836.6,0.00012505017777488434,0.00014103674570094602,0.003547367288456831,-0.0,0.0003992320085958047,-0.0,-0.0,-0.0,0.0005586897627138062,-0.0
19,854.4000000000001,0.0001713976184833203,0.000333825885534987,0.0037666592112426053,-0.0,0.0003414074231127488,-0.0,-0.0,-0.0,0.0006422716165777306,-0.0
20,872.2,0.00023252108844641763,0.00036818408588791985,0.003583691755951404,-0.0,0.0003627912091229125,1.780454334737898e-05,-0.0,-0.0,0.0007372034534926117,-0.0
21,890.0,0.00015910228487813264,0.00020823410638789007,0.0032155701723475282,-0.0,0.00043476094593974257,4.290979836739446e-05,-0.0,-0.0,0.0010631311917313874,-0.0
22,907.8000000000001,0.00015528271523843296,0.0001533494081346572,0.002794502205956644,-0.0,0.00042233601430929766,7.104715920710601e-05,-0.0,-0.0,0.0012924980296948072,-0.0
23,925.6,0.00012686873617528613,0.00015830270950006848,0.0023423123153577,-0.0,0.00048394161942440304,6.94488797178806e-05,-0.0,-0.0,0.0013577753539195804,-0.0
24,943.4000000000001,0.00016421292551719997,0.00017872319801035184,0.0020053512168194546,-0.0,0.0005028293562547859,8.881677001962465e-05,-0.0,-0.0,0.0013079811036769905,-0.0
25,961.2,0.00014517996491099832,0.00020711708546174276,0.001843561740636589,-0.0,0.00046812998090654025,9.619402847731887e-05,-0.0,-0.0,0.0013781317279611,-0.0
26,979.0,8.940260734426148e-05,0.00013680857472322445,0.0015249400615302163,-0.0,0.00036324754543073186,8.790629403727608e-05,-0.0,-0.0,0.0015716840940592396,-0.0
27,996.8000000000001,5.9842941084869525e-05,8.220797751126672e-05,0.001270088766370448,5.4477466426744884e-05,0.00028872174796902344,5.419483723779325e-05,-0.0,-0.0,0.0016182133911304684,-0.0
28,1014.6,0.0001125503200042028,7.651013230059506e-05,0.0012969399273931785,0.00020220460088973924,0.0001886227521805985,7.924563388810005e-05,-0.0,-0.0,0.001596191060618642,-0.0
29,1032.4,6.35892056293357e-05,5.506346321077887e-05,0.0005287518575633457,6.473976477023253e-05,7.197399274672585e-05,5.662196525442045e-05,-0.0,-0.0,0.0017632800916468606,-0.0
30,1050.2,4.323081034647158e-06,2.6619448203616672e-06,5.907862597035813e-05,-0.0,1.567800307629404e-06,-0.0,-0.0,-0.0,0.001258194672064264,-0.0
31,1068.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0008393373252122021,-0.0
32,1085.8,8.113132636832175e-06,3.000757280974384e-06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0007107463481191502,-0.0
33,1103.6000000000001,3.498442292970785e-05,3.1539235962461055e-05,1.5492148910170358e-05,-0.0,1.9207605104281356e-05,1.7555440046356308e-05,-0.0,-0.0,0.00042534665022311586,-0.0
34,1121.4,5.0404306938603576e-05,5.095907222049166e-05,5.939278860547215e-05,2.5848763636181528e-05,4.3496541697107036e-05,4.238532174922169e-05,-0.0,-0.0,0.0003407381784242455,-0.0
35,1139.2,6.85398891405005e-05,7.760749735182818e-05,0.00019534468731932962,7.37942456695478e-05,7.259693397005491e-05,7.11521911111714e-05,3.686236178440776e-05,-0.0,0.0002878404262563197,-0.0
