Isotope,Energy (keV),Sigma (mb),DSigma (mb),Element,Type,XS (mb),Compound,Intensity (%),Info
00Al,843.75,,,Al,Inelastic_Baghdad,78.624,27AI,,
00Al,1014.4,,,Al,Inelastic_Baghdad,131.04,27Al,,
00Al,2211.8,,,Al,Inelastic_Baghdad,68.141,27Al,,
27Al,3033.896,17.9,0.3,Al,Capture_IAEA,,,,
27Al,4259.534,15.3,0.3,Al,Capture_IAEA,,,,
27Al,7724.027,49.3,1.5,Al,Capture_IAEA,,,,
00Ca,770.3,,,Ca,Inelastic_Baghdad,21.004,40K,,
40Ca,1942.67,352,7,Ca,Capture_IAEA,,,,
00Ca,3736.9,,,Ca,Inelastic_Baghdad,12.664,40Ca,,
00Ca,3904.2,,,Ca,Inelastic_Baghdad,10.296,40Ca,,
40Ca,4418.52,70.8,1.8,Ca,Capture_IAEA,,,,
40Ca,6419.59,176,5,Ca,Capture_IAEA,,,,
00Fe,846.78,,,Fe,Inelastic_Baghdad,468,56Fe,,
00Fe,1238.3,,,Fe,Inelastic_Baghdad,49.14,58Fe,,
00Fe,1810.5,,,Fe,Inelastic_Baghdad,32.292,56Fe,,
56Fe,6018.532,227,5,Fe,Capture_IAEA,,,,
56Fe,7631.136,653,13,Fe,Capture_IAEA,,,,
56Fe,7645.545,549,11,Fe,Capture_IAEA,,,,
00Mg,584.9,,,Mg,Inelastic_Baghdad,19.656,25Mg,,
24Mg,585,31.4,1.1,Mg,Capture_IAEA,,,,
00Mg,1368.53,,,Mg,Inelastic_Baghdad,131.04,24Mg,,
00Mg,1808.6,,,Mg,Inelastic_Baghdad,14.414,26Mg,,
24Mg,2828.172,24,0.8,Mg,Capture_IAEA,,,,
24Mg,3916.84,32,1.1,Mg,Capture_IAEA,,,,
16O,870.68,0.177,0.011,O,Capture_IAEA,,,,
16O,1087.75,0.158,0.007,O,Capture_IAEA,,,,
00O,1983,,,O,Inelastic_Baghdad,0.515,18O,,
16O,2184.42,0.164,0.007,O,Capture_IAEA,,,,
00O,6129.3,,,O,Inelastic_Baghdad,3.063,16O,,
00Si,1778.8,,,Si,Inelastic_Baghdad,126.36,28Si,,
00Ti,889.24,,,Ti,Inelastic_Baghdad,34.955,46Ti,,
00Ti,983.49,,,Ti,Inelastic_Baghdad,360.36,48Ti,,
48Ti,1381.745,5180,120,Ti,Capture_IAEA,,,,
48Ti,6418.426,1960,60,Ti,Capture_IAEA,,,,
48Ti,6760.084,2970,90,Ti,Capture_IAEA,,,,
39K,770.305,903,12,K,Capture_IAEA,,,,
39K,1158.887,160,2.5,K,Capture_IAEA,,,,
00K,1267.2,,,K,Inelastic_Baghdad,6.327,39Ar,,
Nat-40K,1460.82,,,K,Natural_radiation,,,10.66,Nat-40K
00K,2522.8,,,K,Inelastic_Baghdad,8.153,39K,,
00K,2813.8,,,K,Inelastic_Baghdad,12.168,39K,,
39K,5380.018,146,4,K,Capture_IAEA,,,,
232Th,566.63,190,50,Th,Capture_IAEA,,,,
232Th,583.27,279,11,Th,Capture_IAEA,,,,
00Th,612.25,,,Th,Inelastic_Baghdad,141.523,232Th,,
00Th,665.54,,,Th,Inelastic_Baghdad,165.11,232Th,,
00Th,736.14,,,Th,Inelastic_Baghdad,92.664,232Th,,
Nat-232Th,840.377,,,Th,Natural_radiation,,,0.91,Nat-232Th
232Th,968.78,132,6,Th,Capture_IAEA,,,,
Nat-232Th,1459.138,,,Th,Natural_radiation,,,0.83,Nat-232Th
Nat-232Th,1495.93,,,Th,Natural_radiation,,,0.86,Nat-232Th
238U,552.069,207,5,U,Capture_IAEA,,,,
238U,612.253,230,50,U,Capture_IAEA,,,,
00U,635.24,,,U,Inelastic_Baghdad,135.72,238U,,
00U,679.87,,,U,Inelastic_Baghdad,116.719,238U,,
Nat-238U,766.38,,,U,Natural_radiation,,,0.294,Nat-238U
Nat-238U,1001.3,,,U,Natural_radiation,,,0.837,Nat-238U
00U,1015.1,,,U,Inelastic_Baghdad,124.862,238U,,
Nat-238U,1207.68,,,U,Natural_radiation,,,0.451,Nat-238U
235U,1279.01,200,10,U,Capture_IAEA,,,,
